timestamp,sysDescr,sysUpTimeInstance,latency
2014-08-19 02:48:55.751,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:40:54.16,214
2014-08-19 02:48:57.22,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:40:56.04,4
2014-08-19 02:48:59.219,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:40:58.04,3
2014-08-19 02:49:01.219,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:41:00.04,3
2014-08-19 02:49:03.222,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:41:02.04,2
2014-08-19 02:49:05.219,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:41:04.04,3
2014-08-19 02:49:07.223,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:41:06.04,3
2014-08-19 02:49:09.219,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:41:08.04,3
2014-08-19 02:49:11.219,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:41:10.04,3
2014-08-19 02:49:13.219,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:41:12.04,3
2014-08-19 02:49:15.219,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:41:14.04,3
2014-08-19 02:49:17.219,Linux usp-demo 3.11.0-15-generic #25~precise1-Ubuntu SMP Thu Jan 30 17:39:31 UTC 2014 x86_64,9:41:16.04,2
